epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.8053,3.29064,8.66593,1.85398,0.00018,0.03226,9e-05,2e-05,2.49972,5.48919,1.29402,0.00018,0.00018,0.00018
2,117.46,2.48458,4.72801,1.24067,0.00068,0.125,0.00043,0.00011,2.2062,4.97734,1.15753,0.000376238,0.000376238,0.000376238
3,181.457,2.28843,3.5954,1.1896,0.00022,0.04032,0.00012,3e-05,1.93065,4.67049,1.09046,0.000568516,0.000568516,0.000568516
4,253.164,2.32377,3.15845,1.13709,0.00077,0.14113,0.00049,0.00016,2.11177,4.55081,1.12388,0.000756834,0.000756834,0.000756834
5,306.521,2.16106,2.78936,1.10723,0.00146,0.26613,0.00128,0.00059,2.17598,4.45637,1.16062,0.000941192,0.000941192,0.000941192
6,359.228,2.1139,2.3564,1.12332,0.00272,0.49597,0.0425,0.02134,2.1332,3.90355,1.14642,0.00112159,0.00112159,0.00112159
7,424.284,2.29011,2.82428,1.12289,0.00362,0.66129,0.03533,0.01675,2.04205,3.61535,1.12077,0.00129803,0.00129803,0.00129803
8,478.379,2.22943,2.63592,1.13671,0.66787,0.40726,0.39749,0.18544,1.92688,3.23399,1.07849,0.00147051,0.00147051,0.00147051
9,530.801,1.96273,2.17856,1.08486,0.95897,0.37694,0.62401,0.27774,1.9128,2.55411,1.05567,0.00163902,0.00163902,0.00163902
10,583.137,1.97562,2.15705,1.06478,0.97424,0.36694,0.56293,0.26857,1.82489,2.49623,1.043,0.00180358,0.00180358,0.00180358
11,641.198,2.02337,2.06315,1.07645,0.91146,0.45663,0.6382,0.28977,1.84844,2.29059,1.05633,0.001802,0.001802,0.001802
12,698.699,1.97005,1.91353,1.04765,0.86368,0.56452,0.69717,0.32534,1.82105,1.91075,1.03208,0.0017822,0.0017822,0.0017822
13,753.657,2.00791,1.88426,1.05732,0.89434,0.54608,0.67153,0.33492,1.84512,1.79312,1.03767,0.0017624,0.0017624,0.0017624
14,808.575,1.96937,1.72095,1.05783,0.83143,0.6129,0.68037,0.30603,1.8784,1.69128,1.04013,0.0017426,0.0017426,0.0017426
15,871.189,2.05872,1.76506,1.04398,0.88179,0.5121,0.64939,0.24793,2.15062,2.06076,1.13498,0.0017228,0.0017228,0.0017228
16,930.169,2.00648,1.73265,1.06978,0.81842,0.625,0.68611,0.28324,1.96307,1.57191,1.09256,0.001703,0.001703,0.001703
17,983.978,1.93674,1.49775,1.0695,0.83026,0.68145,0.73656,0.33413,1.81291,1.51046,1.02359,0.0016832,0.0016832,0.0016832
18,1036.37,1.83956,1.49118,1.00971,0.87025,0.73022,0.77628,0.36907,1.68946,1.50915,0.99855,0.0016634,0.0016634,0.0016634
19,1088.39,1.83286,1.52442,1.0299,0.85198,0.69626,0.76775,0.35406,1.81188,1.44502,1.03372,0.0016436,0.0016436,0.0016436
20,1152.25,1.76906,1.37491,1.02679,0.85951,0.70565,0.77295,0.3947,1.6581,1.39754,0.98606,0.0016238,0.0016238,0.0016238
21,1218.69,1.78414,1.36799,1.02299,0.88401,0.73387,0.80104,0.39592,1.60467,1.31458,0.96924,0.001604,0.001604,0.001604
22,1278.6,1.86412,1.3424,1.01063,0.881,0.69355,0.78236,0.38582,1.68644,1.23143,1.00334,0.0015842,0.0015842,0.0015842
23,1333.62,1.77519,1.27555,1.01004,0.88258,0.72177,0.79463,0.41805,1.59638,1.15512,0.97808,0.0015644,0.0015644,0.0015644
24,1388.23,1.7925,1.32264,1.03187,0.81582,0.75403,0.78737,0.39792,1.57222,1.16625,0.97119,0.0015446,0.0015446,0.0015446
25,1446.89,1.81223,1.27857,0.97983,0.84679,0.71314,0.78678,0.38672,1.66678,1.14721,0.97869,0.0015248,0.0015248,0.0015248
26,1506.51,1.7368,1.17043,0.99605,0.90277,0.74882,0.83417,0.41065,1.61848,1.06815,0.97287,0.001505,0.001505,0.001505
27,1563.39,1.67478,1.09519,0.9944,0.88349,0.80242,0.85972,0.42318,1.56613,1.0124,0.96257,0.0014852,0.0014852,0.0014852
28,1618.62,1.72386,1.1005,0.97688,0.8969,0.77016,0.86069,0.42225,1.54628,1.08094,0.96708,0.0014654,0.0014654,0.0014654
29,1672,1.70256,1.15107,0.96578,0.81094,0.81288,0.8494,0.4055,1.62575,1.09219,0.98005,0.0014456,0.0014456,0.0014456
30,1734.05,1.75141,1.11617,0.99374,0.87608,0.7982,0.83646,0.39571,1.57344,1.03857,0.96841,0.0014258,0.0014258,0.0014258
31,1800.57,1.72463,1.04806,0.9726,0.90882,0.77016,0.83797,0.42776,1.47949,0.97771,0.94975,0.001406,0.001406,0.001406
32,1867.36,1.64342,1.05113,0.9686,0.85547,0.80645,0.84163,0.42582,1.53847,0.95492,0.95921,0.0013862,0.0013862,0.0013862
33,1929.32,1.69242,1.0018,0.97686,0.8896,0.77979,0.82736,0.43937,1.48166,0.94506,0.94534,0.0013664,0.0013664,0.0013664
34,1984.39,1.69292,1.04894,0.98707,0.85807,0.80645,0.84196,0.44233,1.49887,0.97616,0.94811,0.0013466,0.0013466,0.0013466
35,2038.53,1.65888,1.03074,0.9565,0.83641,0.78341,0.8346,0.4358,1.54076,0.97761,0.959,0.0013268,0.0013268,0.0013268
36,2093.62,1.70409,0.99111,0.96092,0.84939,0.75806,0.83035,0.44491,1.51267,0.98936,0.95261,0.001307,0.001307,0.001307
37,2155.42,1.5813,0.99458,0.95357,0.85505,0.72177,0.8044,0.40638,1.55099,0.99307,0.95194,0.0012872,0.0012872,0.0012872
38,2269.32,1.69849,1.1055,0.99328,0.89316,0.82258,0.86547,0.41953,1.48652,0.94684,0.93565,0.0012674,0.0012674,0.0012674
39,2321.77,1.56122,0.99322,0.97353,0.91645,0.79611,0.85273,0.39277,1.56866,0.9983,0.94909,0.0012476,0.0012476,0.0012476
40,2374.64,1.58505,0.97138,0.96105,0.86969,0.77823,0.84714,0.42299,1.58564,0.94985,0.9862,0.0012278,0.0012278,0.0012278
41,2426.67,1.62904,0.95069,0.95687,0.90181,0.77016,0.85253,0.4349,1.59292,0.92866,0.96196,0.001208,0.001208,0.001208
42,2810.84,1.61772,0.96457,0.94345,0.92838,0.77419,0.87114,0.4525,1.46539,0.87787,0.93602,0.0011882,0.0011882,0.0011882
43,2864.15,1.62153,0.98369,0.92318,0.90096,0.80645,0.8846,0.46508,1.46574,0.872,0.93483,0.0011684,0.0011684,0.0011684
44,2916.25,1.50645,0.9306,0.94377,0.89905,0.79839,0.87843,0.46597,1.47457,0.88102,0.93644,0.0011486,0.0011486,0.0011486
45,2968.4,1.64136,0.95279,0.94177,0.86917,0.82661,0.88186,0.481,1.46033,0.90777,0.93827,0.0011288,0.0011288,0.0011288
46,3549.05,1.65377,0.95356,0.95962,0.92129,0.80237,0.88019,0.47287,1.46919,0.86168,0.93817,0.001109,0.001109,0.001109
47,3601.27,1.61094,0.91886,0.96845,0.87135,0.82661,0.8773,0.50052,1.41091,0.81101,0.92639,0.0010892,0.0010892,0.0010892
48,3653.37,1.50855,0.85282,0.938,0.87086,0.83871,0.88347,0.49041,1.42926,0.82189,0.93509,0.0010694,0.0010694,0.0010694
49,3706.34,1.46841,0.85926,0.91503,0.91695,0.83065,0.89705,0.50222,1.39238,0.80585,0.92958,0.0010496,0.0010496,0.0010496
50,3896.12,1.52385,0.88851,0.96363,0.92546,0.85111,0.90475,0.50862,1.34319,0.77807,0.9187,0.0010298,0.0010298,0.0010298
51,3948.23,1.49367,0.83566,0.91272,0.92085,0.85484,0.90471,0.51873,1.31732,0.76502,0.91882,0.00101,0.00101,0.00101
52,4000.32,1.48336,0.86049,0.9376,0.87478,0.84274,0.85821,0.48023,1.32946,0.80337,0.92103,0.0009902,0.0009902,0.0009902
53,4053.36,1.5113,0.82536,0.92506,0.81906,0.8579,0.83721,0.47009,1.28872,0.82788,0.91244,0.0009704,0.0009704,0.0009704
54,4335.82,1.42752,0.81917,0.94755,0.87596,0.82578,0.85375,0.44788,1.44394,0.87044,0.92756,0.0009506,0.0009506,0.0009506
55,4387.96,1.42608,0.83078,0.93321,0.90691,0.85484,0.90719,0.48498,1.43732,0.80819,0.92333,0.0009308,0.0009308,0.0009308
56,4439.56,1.52488,0.90948,0.93594,0.90882,0.85081,0.9141,0.51623,1.35111,0.75768,0.91437,0.000911,0.000911,0.000911
57,4493.19,1.44222,0.81697,0.9273,0.90792,0.85081,0.91117,0.51453,1.36148,0.75227,0.91122,0.0008912,0.0008912,0.0008912
58,4551.55,1.49159,0.81553,0.92404,0.93665,0.83472,0.90609,0.51434,1.28769,0.74538,0.90026,0.0008714,0.0008714,0.0008714
59,4612.84,1.44588,0.84315,0.92395,0.92023,0.83726,0.90565,0.5115,1.31871,0.75247,0.91205,0.0008516,0.0008516,0.0008516
60,4800.33,1.46267,0.85081,0.90596,0.91799,0.875,0.91588,0.52711,1.28366,0.7226,0.90205,0.0008318,0.0008318,0.0008318
61,4852.91,1.39753,0.77974,0.92897,0.93052,0.86401,0.91605,0.54382,1.23922,0.71432,0.8881,0.000812,0.000812,0.000812
62,4904.71,1.42001,0.78386,0.93484,0.94085,0.83386,0.90995,0.46677,1.45251,0.76719,0.92477,0.0007922,0.0007922,0.0007922
63,4956.67,1.48712,0.83016,0.92129,0.92834,0.83065,0.91227,0.49959,1.38612,0.76151,0.92688,0.0007724,0.0007724,0.0007724
64,5242.31,1.33471,0.8009,0.92253,0.94481,0.82832,0.91834,0.5165,1.33497,0.71665,0.90556,0.0007526,0.0007526,0.0007526
65,5294.01,1.42284,0.81193,0.91577,0.92472,0.8629,0.92256,0.54479,1.23385,0.69089,0.8929,0.0007328,0.0007328,0.0007328
66,5354.05,1.46878,0.82222,0.90588,0.94104,0.84677,0.91372,0.52442,1.32426,0.72454,0.91058,0.000713,0.000713,0.000713
67,5423.53,1.38894,0.75474,0.89426,0.92401,0.88254,0.92929,0.5451,1.24705,0.68609,0.89851,0.0006932,0.0006932,0.0006932
68,5486.61,1.33102,0.7475,0.89105,0.94649,0.8871,0.93728,0.55891,1.24768,0.68088,0.88743,0.0006734,0.0006734,0.0006734
69,5561.63,1.39167,0.77779,0.91613,0.94232,0.85643,0.91808,0.56559,1.18814,0.66835,0.88028,0.0006536,0.0006536,0.0006536
70,5615.95,1.41547,0.7625,0.91963,0.93431,0.86023,0.91868,0.56012,1.18968,0.67852,0.88443,0.0006338,0.0006338,0.0006338
71,5671.84,1.32682,0.74576,0.88897,0.93424,0.86694,0.93719,0.56988,1.21878,0.67708,0.88904,0.000614,0.000614,0.000614
72,5725.73,1.39999,0.77831,0.89781,0.89534,0.89685,0.93222,0.55836,1.19587,0.66549,0.88614,0.0005942,0.0005942,0.0005942
73,5782.95,1.34321,0.75439,0.88804,0.91333,0.88306,0.93682,0.54989,1.18788,0.6594,0.87862,0.0005744,0.0005744,0.0005744
74,5835.17,1.27075,0.69305,0.89518,0.90627,0.89516,0.93849,0.56541,1.1651,0.64013,0.87474,0.0005546,0.0005546,0.0005546
75,5887.7,1.31965,0.72652,0.88281,0.94731,0.86995,0.94355,0.57976,1.16328,0.62991,0.87684,0.0005348,0.0005348,0.0005348
76,5939.54,1.315,0.74051,0.90996,0.90311,0.90205,0.943,0.5786,1.16893,0.64637,0.8744,0.000515,0.000515,0.000515
77,5991.34,1.29003,0.72625,0.90681,0.91074,0.90511,0.94544,0.57494,1.16998,0.66141,0.87534,0.0004952,0.0004952,0.0004952
78,6097.75,1.31767,0.72133,0.90241,0.91526,0.89919,0.94905,0.58508,1.15846,0.64882,0.87581,0.0004754,0.0004754,0.0004754
79,6151.68,1.33503,0.737,0.90515,0.92745,0.87631,0.94167,0.584,1.14906,0.64419,0.87537,0.0004556,0.0004556,0.0004556
80,6203.06,1.29544,0.71414,0.89114,0.94175,0.84746,0.92689,0.58939,1.1155,0.63398,0.86993,0.0004358,0.0004358,0.0004358
81,6254.97,1.21517,0.65955,0.88596,0.93466,0.86514,0.93935,0.58523,1.15069,0.6401,0.87444,0.000416,0.000416,0.000416
82,6443.44,1.25351,0.66838,0.87726,0.93123,0.87903,0.94151,0.59622,1.10715,0.63768,0.86707,0.0003962,0.0003962,0.0003962
83,6496.75,1.32763,0.72314,0.89071,0.947,0.86457,0.94667,0.59651,1.10701,0.63076,0.86747,0.0003764,0.0003764,0.0003764
84,6548.35,1.2615,0.67362,0.87016,0.93277,0.86694,0.94143,0.58766,1.13961,0.63511,0.86794,0.0003566,0.0003566,0.0003566
85,6599.35,1.24591,0.70246,0.89292,0.95658,0.85887,0.94417,0.61135,1.06806,0.61622,0.86101,0.0003368,0.0003368,0.0003368
86,6651.35,1.17452,0.65808,0.88418,0.95978,0.86694,0.93694,0.59603,1.09453,0.61663,0.86686,0.000317,0.000317,0.000317
87,6702.99,1.23085,0.67116,0.89465,0.95855,0.85484,0.94115,0.58435,1.18651,0.63174,0.87904,0.0002972,0.0002972,0.0002972
88,6755.98,1.15697,0.64486,0.86758,0.94733,0.87039,0.94516,0.61077,1.09476,0.61111,0.86327,0.0002774,0.0002774,0.0002774
89,7143.03,1.17419,0.65654,0.88183,0.94354,0.87605,0.9514,0.62049,1.03996,0.5972,0.85501,0.0002576,0.0002576,0.0002576
90,7195.64,1.25993,0.67284,0.88406,0.96031,0.87814,0.95669,0.61157,1.08801,0.60376,0.85882,0.0002378,0.0002378,0.0002378
91,7247.53,1.23909,0.72633,0.8935,0.95375,0.8871,0.95249,0.59746,1.13904,0.61472,0.86489,0.000218,0.000218,0.000218
92,7299.37,1.16004,0.66107,0.89317,0.96047,0.88169,0.95569,0.61769,1.04591,0.60002,0.85732,0.0001982,0.0001982,0.0001982
93,7604.06,1.16698,0.71301,0.87524,0.96216,0.87097,0.95948,0.62572,1.01868,0.59534,0.85393,0.0001784,0.0001784,0.0001784
94,7655.98,1.19463,0.68465,0.88693,0.96268,0.875,0.95391,0.61753,1.06194,0.60894,0.85766,0.0001586,0.0001586,0.0001586
95,7707.31,1.17172,0.6788,0.86641,0.95429,0.87097,0.9504,0.59251,1.15714,0.62321,0.86656,0.0001388,0.0001388,0.0001388
96,7761.03,1.18378,0.68369,0.86389,0.92901,0.89704,0.94946,0.58663,1.18597,0.62877,0.86917,0.000119,0.000119,0.000119
97,7829.37,1.18497,0.70301,0.89694,0.93242,0.89919,0.95176,0.60386,1.12673,0.61385,0.86262,9.92e-05,9.92e-05,9.92e-05
98,7882.59,1.07884,0.6457,0.85981,0.9244,0.88747,0.94801,0.62126,1.05746,0.60022,0.85707,7.94e-05,7.94e-05,7.94e-05
99,7934.54,1.13843,0.65878,0.86292,0.93409,0.88306,0.94647,0.62196,1.04771,0.59981,0.85645,5.96e-05,5.96e-05,5.96e-05
100,7986.38,1.12987,0.66133,0.89277,0.93469,0.88306,0.94748,0.62095,1.05286,0.60047,0.85682,3.98e-05,3.98e-05,3.98e-05
